DatabaseID	HPO_ID
OMIM:175100	HP:0010619
OMIM:175100	HP:0002884
OMIM:175100	HP:0002885
OMIM:175100	HP:0008256
OMIM:175100	HP:0002895
OMIM:175100	HP:0003003
OMIM:175100	HP:0004394
OMIM:175100	HP:0004783
OMIM:175100	HP:0005227
OMIM:175100	HP:0006771
OMIM:175100	HP:0007649
OMIM:175100	HP:0100245
OMIM:175100	HP:0003828
OMIM:175100	HP:0010614
OMIM:175100	HP:0200040
OMIM:175100	HP:0100246
OMIM:175100	HP:0000164
OMIM:618534	HP:0000007
OMIM:618534	HP:0002783
OMIM:618534	HP:0002110
OMIM:618534	HP:0001508
OMIM:618534	HP:0100759
OMIM:618534	HP:0031394
OMIM:618534	HP:0012191
